"timestamp","value","unit","reading_type","hashed_value"
"2024-07-29 16:14:22",23.8,"C","T",cd3626a33cb60c94d4eeaf477d7990f5a780a859677162db9640d6a48c8f8d36:583e42d263a71d9d7c0c93c9c9af0a70
"2024-07-29 16:47:32",23.8,"C","T",4216d61da96b1202931d33873aa8404d2037181ab0ef9ff78ab09cbd16ec857f:f02a003073081a357a11a73e6f95151a
"2024-07-29 16:47:33",27.0,"R","H",f2850eb20eb1a06da48c80065532aacdab4db0fab307986d50a9f7afd3c59d6a:74a9699d2cfbc3e7b10a6a4100de488d
"2024-07-29 16:55:29",23.4,"C","T",4de553da60ff47ce0ba75c801d3d6e27dcf778b96fe066f03e15e16811a31096:a337fe233dc75b8432393105ec1f16cd
"2024-07-29 16:55:30",27.0,"R","H",8b398dac2dcef0fffaa48c5deeb560db5088e2f7c751cfc006c585fefe6960f1:1280393884c3fefca543fff22a4e8a75
"2024-07-29 16:57:02",23.4,"C","T",d8ce9c8242c14f4c2f1ff3f4af76e060c2de07f13db5bf3e36f69b15833cbbfd:3d58c4ba6b9f00dd1a28d51662998f9f
"2024-07-29 16:57:03",27.0,"R","H",0003df2b1942a710ec193768ba98b7dc1375c2b6869d35b5c7812ba850af9ffd:d209da5e8531d52d91ac8931001c0a95
"2024-07-29 16:58:04",23.4,"C","T",f7500ceb9dd542c135403f7b2697ed0f0779cf3c76f5794a305de993981adccd:681c6da72493ac42c2ff3e8765c051cb
"2024-07-29 16:58:05",27.0,"R","H",8c1f5d3f617351f531114f59f999886c5c0504202d5128785cb08e81da6da9d8:a76b5299d765776a77e8ed266dc9cdd1
"2024-07-29 16:59:06",23.0,"C","T",498a7ac82882d43fb443e616ad9711d52b0438fe69c08e485dd5334d3dc09a09:493423e359a254e751c51f5ba18bb768
"2024-07-29 16:59:06",27.0,"R","H",85d162f87d1f94a450a5a27a58912b39f3bd13f34b364108a9b6b54698077739:e4ad9fe655ef12cd32644d77fd46cee4
"2024-07-29 17:00:39",23.0,"C","T",64c110e5bf827cb79b6552a4f68dcb8ef1d64b8c062de85fc8738b5869c61c1a:465979ffad183750c421bce4a2c61bc4
"2024-07-29 17:00:39",27.0,"R","H",c0a097fc2811b370e30bc4595a20e725f055902756adcee2ad363102eb48ea6e:7e67646cc3d1d1e92972f2d3095274b3
